"x"
8,93204026036712
6,9730716449015
6,39167366693675
7,00257754832194
8,32919523119618
7,70780126335848
8,52937474223685
8,09431562602246
9,08346446931351
8,12431619805367
6,81876177197026
7,63994251088984
6,89153637305604
7,04385834925188
5,7325233070739
6,60735020246311
7,56312119228948
8,66164375703006
8,03806044552388
5,82795884836893
8,03471881721048
5,47810493774602
6,01139489042543
6,93912185193104
7,44620707934583
5,99176446984411
8,18376746432292
6,42350116433785
6,83242929866699
8,97987515536532
7,04609680043149
7,47024196460722
5,65281876282846
6,02841334555812
7,40153696072114
7,03831188709955
8,69607357977148
6,83671734486892
5,97305949740997
6,0179547556454
6,7188799105686
7,94320181963555
6,05111508464329
8,13161730092081
5,63671662096945
5,21529246973584
9,18689708913992
6,66299203695906
7,65321240881535
6,83971803882881
9,54692378700676
7,72449535386925
8,64113686374048
7,03588578546249
7,11226463177344
6,84655313428099
7,05314335528011
7,81928466312163
6,30653900069786
8,52480344882236
6,98418791633091
5,69061364836135
6,16385760334463
6,66446911873682
7,39927101470794
7,98805668966326
6,96233746597003
7,1524305273361
8,18580916670946
6,90471238321883
7,58819821199137
8,16190385603502
7,39040794940252
7,46799988238005
6,56997545349996
6,96973218053695
6,93475641523793
8,32757802302265
6,4011062182823
7,15037482853646
8,82368128652064
6,50067701294773
6,69495816681877
7,05135780271409
6,85447026799801
6,07123876472211
8,2640217224687
9,29517509998564
7,10059298492205
8,32859816716759
8,53766319764365
6,85017143499991
7,52575989102776
8,80688483581228
6,58957890079769
6,68130457317712
7,80882848820123
